[2020-11-02 17:45:43.733259], Eyes Relaxed!!
[2020-11-02 17:45:47.718000], Physical Activity done!!
[2020-11-02 17:45:52.710350], Drank Water!!
[2020-11-02 17:46:09.278193], Eyes Relaxed!!

[2020-11-03 07:39:33.766006], Eyes Relaxed!!
[2020-11-03 07:39:43.613511], Physical Activity done!!
[2020-11-03 07:39:51.628803], Drank Water!!
[2020-11-03 07:39:57.483910], Eyes Relaxed!!
[2020-11-03 07:40:12.142176], Physical Activity done!!
[2020-11-03 07:40:18.402930], Eyes Relaxed!!
[2020-11-03 07:40:29.775098], Drank Water!!
[2020-11-03 07:40:38.258301], Eyes Relaxed!!
[2020-11-03 07:40:43.003360], Physical Activity done!!
[2020-11-06 15:46:15.170363], Eyes Relaxed!!
[2020-11-06 15:46:24.996392], Physical Activity done!!
[2021-07-23 15:00:03.706771], Eyes Relaxed!!
[2021-07-23 15:00:30.976285], Physical Activity done!!
[2021-07-23 15:00:56.074874], Drank Water!!
[2021-07-23 15:01:03.475652], Eyes Relaxed!!
[2021-07-23 15:01:42.638078], Physical Activity done!!
[2021-07-23 15:01:46.892257], Drank Water!!
[2021-07-23 15:01:52.220060], Eyes Relaxed!!

[23 Jul 2021 | 03:10:52 PM], Eyes Relaxed!!
[23 Jul 2021 | 03:10:59 PM], Physical Activity done!!
[23 Jul 2021 | 03:11:07 PM], Drank Water!!
[23 Jul 2021 | 03:11:13 PM], Eyes Relaxed!!
[23 Jul 2021 | 03:11:31 PM], Physical Activity done!!
[23 Jul 2021 | 03:11:37 PM], Eyes Relaxed!!
[23 Jul 2021 | 03:11:53 PM], Drank Water!!
